,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,360811024,98.48411757117965,3.5975679310535567,Lapangan Sepak Bola Mapolresta BInjai,54548.7,1,2.05,,0.7370084142208424,10.247004682726079,3.4870960206206,313.85548356940296,60.2,11416.86,0.21,21990.0,0.4,5377.6,0.1,60.1965601965602,4.0,1.0,13000.0,1.0,5.0,3.0,3.0,14849.47,0.27,914.77,0.02,2018-07-14T04:09:30.140Z,247d4674-8614-4aff-adf8-dd3a3f730d19
1,1,204963066,98.48142956312174,3.603149404729887,Lapangan Merdeka,24760.08,0,1.46,,,,,0.0,0.0,3170.17,0.13,11004.97,0.44,4111.94,0.17,0.0,1.0,1.0,5800.0,1.0,5.0,2.0,1.0,6472.99,0.26,0.0,0.0,2018-07-14T04:09:30.140Z,247d4674-8614-4aff-adf8-dd3a3f730d19
2,2,639501095,98.5037344425565,3.602207724846394,NA,21096.57,0,1.66,,,,,0.0,0.0,0.0,0.0,10892.55,0.52,8067.0,0.38,0.0,1.0,1.0,1900.0,1.0,5.0,2.0,1.0,2137.02,0.1,0.0,0.0,2018-07-14T04:09:30.141Z,247d4674-8614-4aff-adf8-dd3a3f730d19
3,3,639501094,98.50664132527375,3.603657940767609,NA,18484.49,0,2.26,,,,,0.0,0.0,8582.32,0.46,5942.07,0.32,0.0,0.0,0.0,1.0,1.0,3600.0,1.0,4.0,3.0,1.0,3960.09,0.21,0.0,0.0,2018-07-14T04:09:30.141Z,247d4674-8614-4aff-adf8-dd3a3f730d19
4,4,639501096,98.50018322028954,3.602219139230948,NA,12722.01,0,2.32,,,,,0.0,0.0,3188.73,0.25,6526.76,0.51,123.31,0.01,0.0,1.0,1.0,2600.0,1.0,5.0,3.0,1.0,2883.21,0.23,0.0,0.0,2018-07-14T04:09:30.141Z,247d4674-8614-4aff-adf8-dd3a3f730d19
5,6,639501088,98.49487960037479,3.6124844936693483,NA,9869.82,0,2.12,,,,,0.0,0.0,1501.83,0.15,5278.0,0.53,1182.48,0.12,0.0,1.0,1.0,1700.0000000000002,1.0,5.0,3.0,1.0,1907.5,0.19,0.0,0.0,2018-07-14T04:09:30.140Z,247d4674-8614-4aff-adf8-dd3a3f730d19
6,7,639501097,98.51466100650057,3.6035832074385254,NA,9643.34,0,1.71,,,,,0.0,0.0,1143.47,0.12,7421.11,0.77,678.24,0.07,0.0,1.0,1.0,360.0,1.0,5.0,2.0,1.0,400.52,0.04,0.0,0.0,2018-06-11T04:25:21.271Z,d187e9ec-89be-4442-bd9e-e05837c6e432
7,8,204967346,98.49233186729302,3.6150828840434217,Lapangan Olahraga Perguruan Ahmad Yani Binjai,7622.95,0,2.1,,,,,0.0,0.0,2391.69,0.31,2674.34,0.35,78.27,0.01,0.0,1.0,1.0,2200.0,1.0,5.0,3.0,1.0,2478.66,0.33,0.0,0.0,2018-07-14T04:09:30.140Z,247d4674-8614-4aff-adf8-dd3a3f730d19
8,11,639501090,98.49857691249876,3.6403478692554008,NA,2400.92,0,1.21,,,,,0.0,0.0,494.01,0.21,163.0,0.07,806.41,0.34,0.0,1.0,1.0,840.0,1.0,1.0,2.0,1.0,937.48,0.39,0.0,0.0,2018-07-14T04:09:30.141Z,247d4674-8614-4aff-adf8-dd3a3f730d19
9,12,357792738,98.48078736424036,3.6037321888350324,Taman Balita Binjai,2079.51,0,1.52,,,,,0.0,0.0,0.0,0.0,592.37,0.28,683.51,0.33,0.0,1.0,1.0,720.0,1.0,5.0,2.0,1.0,803.64,0.39,0.0,0.0,2018-07-14T04:09:30.140Z,247d4674-8614-4aff-adf8-dd3a3f730d19
10,13,204963108,98.48092957855337,3.601824721018283,Taman Air Mancur,2044.14,3,0.95,,,,,0.0,0.0,0.0,0.0,376.44,0.18,947.18,0.46,0.0,1.0,1.0,650.0,1.0,4.0,2.0,1.0,720.51,0.35,0.0,0.0,2018-07-14T04:09:30.140Z,247d4674-8614-4aff-adf8-dd3a3f730d19
