,id,OSM_id,X_wgs,Y_wgs,name,area,amenities,meanLAI,wArea,wEccentricity,wMaj_Axis_Length,wMin_Axis_Length,wPerimeter,RepPer_vegcover,Bare_area_m2,Bare_pct,Grass_area_m2,Grass_pct,Impermeable_area_m2,Impermeable_pct,Infil,Infil_Rip,Infil_Storm,Monetary,Soc_Amen,Soc_Grey,Temp_LAI,Temp_Water,Trees_area_m2,Trees_pct,Water_area_m2,Water_pct,image_date,image_id
0,0,639515488,109.33755943030302,-0.04641317266165715,NA,307360.45,19,1.37,,,,,False,0,0.0,0.0,116766.85,0.38,107070.87,0.35,0.0,1.0,1.0,75000.0,1.0,5.0,2.0,1.0,83522.73,0.27,0.0,0.0,2016-10-21T03:13:01.919Z,e7fa2040-abb7-4bf4-9435-b93485d07ff1
1,1,639515495,109.34985247498079,-0.05222842710915669,NA,112463.82,9,1.61,,,,,False,0,18314.83,0.16,55949.04,0.5,9855.32,0.09,0.0,1.0,1.0,26000.0,1.0,5.0,2.0,1.0,28344.62,0.25,0.0,0.0,2016-10-21T03:13:01.919Z,e7fa2040-abb7-4bf4-9435-b93485d07ff1
2,2,639515493,109.35085221552609,-0.05565947802893675,NA,43801.9,5,1.85,,,,,False,0,0.0,0.0,6887.71,0.16,5127.63,0.12,0.0,1.0,1.0,28999.999999999996,1.0,5.0,2.0,1.0,31786.56,0.73,0.0,0.0,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
3,3,594016834,109.34256760043321,-0.04853732833214402,Museum Kalimantan Barat,32072.03,16,1.23,,,,,False,0,0.0,0.0,11228.36,0.35,13503.46,0.42,0.0,1.0,1.0,6600.0,1.0,5.0,2.0,1.0,7340.21,0.23,0.0,0.0,2016-10-21T03:13:01.919Z,e7fa2040-abb7-4bf4-9435-b93485d07ff1
4,4,219979428,109.33936060019876,-0.021745371867400397,Alun-Alun Kota Pontianak,27300.87,1,0.79,,,,,False,0,0.0,0.0,8253.59,0.3,17364.04,0.64,0.0,1.0,1.0,1500.0,1.0,1.0,2.0,1.0,1683.23,0.06,0.0,0.0,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
5,5,594003452,109.34731358984071,-0.05547363183632001,Untan,26133.19,1,1.64,,,,,False,0,0.0,0.0,9757.43,0.37,1876.04,0.07,0.0,1.0,1.0,13000.0,1.0,5.0,2.0,1.0,14499.73,0.55,0.0,0.0,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
6,6,337963841,109.34318190241481,-0.046043141002682246,NA,23060.54,0,1.51,,,,,False,0,657.19,0.03,4541.58,0.2,0.0,0.0,0.0,1.0,1.0,16000.0,1.0,5.0,2.0,1.0,17861.77,0.77,0.0,0.0,2016-10-21T03:13:01.919Z,e7fa2040-abb7-4bf4-9435-b93485d07ff1
7,7,283902324,109.36999973116521,-0.033145899663096355,NA,9883.75,0,1.47,,,,,False,0,2537.13,0.26,5949.02,0.6,16.76,0.0,0.0,1.0,1.0,1200.0,1.0,5.0,2.0,1.0,1380.84,0.14,0.0,0.0,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
8,8,639515482,109.32163662446293,0.015322795313623225,NA,8713.97,0,2.62,,,,,False,0,0.0,0.0,1257.34,0.14,3.36,0.0,0.0,1.0,1.0,6700.0,1.0,5.0,3.0,1.0,7453.27,0.86,0.0,0.0,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
9,9,288798813,109.34819016260363,-0.05331355704785182,NA,7083.29,0,1.32,,,,,False,0,1399.53,0.2,1425.88,0.2,184.41,0.03,0.0,1.0,1.0,3700.0,1.0,5.0,2.0,1.0,4073.47,0.58,0.0,0.0,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
10,10,639515470,109.32210519999998,-0.04534730000000405,NA,6290.37,0,1.36,,0.4641182574173008,7.9322326244069545,2.3119330444962296,738.4675585459819,61.97,0.0,0.0,3079.59,0.49,396.84,0.06,61.973055193394174,4.0,1.0,2500.0,1.0,5.0,2.0,4.0,2718.83,0.43,95.11,0.02,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
11,11,639515484,109.36883288855847,-0.003129492354838419,NA,2958.51,1,1.62,,0.6308350246197483,7.557262005254032,3.087168525807243,87.45149996173664,61.07,0.0,0.0,1615.0,0.55,697.35,0.24,61.06924498791412,4.0,1.0,510.0,1.0,5.0,2.0,1.0,560.02,0.19,86.16,0.03,2017-10-19T03:21:28.685Z,7bea92fa-f3be-43ff-9917-baaf4151f9bd
12,12,594012770,109.34775843687963,-0.057249997359606,Taman Fakultas Teknik,2864.13,0,1.58,,,,,False,0,625.5,0.22,391.62,0.14,0.0,0.0,0.0,1.0,1.0,1700.0000000000002,1.0,5.0,2.0,1.0,1847.01,0.64,0.0,0.0,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
13,13,337963840,109.34312026186919,-0.04823582508546498,Museum Park,2482.98,0,1.28,,,,,False,0,0.0,0.0,1954.46,0.79,57.03,0.02,0.0,1.0,1.0,420.0,1.0,5.0,2.0,1.0,471.49,0.19,0.0,0.0,2010-03-09T03:17:09.981Z,258191f6-98fc-4720-ae27-a64615f2dae5
